id,name,onboarding_plan
11,Support finance,
12,Utilisateur,
13,Web designer,"**1) Module de formation/entrainement :**

**Formation 1 : Flexibilité mentale**
- Objectifs : Comprendre la notion de flexibilité mentale, apprendre à s'adapter aux changements et à modifier ses méthodes de travail en fonction des situations.
- Durée : 0,5 jour
- Méthode : Exercices pratiques de résolution de problèmes, jeux de rôle pour s'adapter à des situations inattendues.
- Critères d'évaluation : Capacité à s'adapter à des situations nouvelles lors d'exercices de simulation, feedback des pairs.

**Formation 2 : Synthèse et raisonnement logique**
- Objectifs : Développer la capacité à synthétiser des informations et à utiliser le raisonnement logique pour prendre des décisions.
- Durée : 1 jour
- Méthode : Exercices de synthèse d'informations, jeux de logique, études de cas.
- Critères d'évaluation : Qualité des synthèses réalisées, capacité à résoudre des problèmes logiques, application du raisonnement logique dans les études de cas.

**Formation 3 : Auto-organisation et sensibilité sociale**
- Objectifs : Améliorer la capacité à s'organiser de manière autonome et à comprendre les émotions et les besoins des autres.
- Durée : 1,5 jour
- Méthode : Ateliers de gestion du temps, exercices de mise en situation pour développer l'empathie.
- Critères d'évaluation : Amélioration de l'organisation personnelle, capacité à comprendre et à répondre aux émotions des autres.

**2) Retour d’Expérience (REX) :**

La session de REX sera axée sur l'analyse de situations vécues par les participants au cours desquelles ils ont dû faire preuve de flexibilité mentale, de synthèse, d'auto-organisation, de sensibilité sociale et de raisonnement logique. Chaque participant présentera une situation, les actions qu'il a entreprises et les résultats obtenus. Les autres participants et l'animateur donneront leur feedback et proposeront des alternatives pour améliorer les HSC. 

**3) Coaching d’Équipe :**

Pour renforcer la coopération, l’auto-organisation et l’adaptation, le coach devra :
- Encourager la communication ouverte et honnête au sein de l'équipe.
- Proposer des exercices de team building pour renforcer la coopération.
- Mettre en place des rituels d'organisation (planning hebdomadaire, réunions de suivi...).
- Encourager l'initiative personnelle et la prise de décision en équipe.
- Proposer des exercices de flexibilité mentale pour aider l'équipe à s'adapter aux changements.

**4) Parcours d’Apprentissage Autonome :**

Le parcours d'apprentissage autonome pourra inclure :
- Des micro-formations en ligne sur la flexibilité mentale, la synthèse, l'auto-organisation, la sensibilité sociale et le raisonnement logique.
- Des exercices pratiques à réaliser en autonomie pour développer ces HSC (par exemple, des exercices de synthèse d'articles, des jeux de logique...).
- Des quiz pour évaluer les progrès réalisés dans le développement de ces HSC."
14,Animateur Réseaux sociaux,
15,Intrant,
16,Extrant,
17,Analyse,
18,Développeur,
19,Testeur,
20,Gestionnaire de produit,
110,Développeur Web,
111,Analyste,
112,Testeur QA,
113,Chef de projet,
