id,habilete,niveau,justification,activity_id
108,Auto-évaluation,3 (maîtrise),L'auto-évaluation est essentielle pour la tâche T1 (Prise en compte de la demande et des objections du client) afin de comprendre ses propres forces et faiblesses dans la négociation. Cela contribue également à la performance P1 (Information à jour) en permettant une évaluation continue de l'efficacité de la négociation.,8
109,Adaptation relationnelle,4 (expertise),L'adaptation relationnelle est cruciale pour la tâche T3 (Négociation avec le client) pour s'adapter aux besoins et aux attentes du client. Cela aide également à atteindre la performance P2 (Négociation <15%) en permettant une négociation efficace.,8
110,Flexibilité mentale,2 (acquisition),La flexibilité mentale est utile pour la tâche T3 (Négociation avec le client) pour s'adapter aux changements et aux imprévus lors de la négociation. Cela aide également à atteindre la performance P2 (Négociation <15%) en permettant une négociation flexible et efficace.,8
111,Synthèse,3 (maîtrise),La synthèse est importante pour la tâche T4 (Faire le compte rendu de négo) pour résumer efficacement les points clés de la négociation. Cela contribue également à la performance P1 (Information à jour) en garantissant que toutes les informations pertinentes sont communiquées de manière concise.,8
112,Raisonnement logique,2 (acquisition),Le raisonnement logique est nécessaire pour la tâche T2 (Construction d'un argumentaire) pour développer un argumentaire solide et convaincant. Cela contribue également à la performance P3 (Liste exhaustive à jour) en assurant que tous les points pertinents sont pris en compte dans l'argumentaire.,8
113,Raisonnement logique,3 (Maîtrise),"La qualité de rigueur est couverte par cette habileté. Dans la tâche T1, vérifier avec le client la raison du retard de paiement nécessite un raisonnement logique pour comprendre les raisons du retard et proposer des solutions appropriées.",15
114,Auto-régulation,3 (Maîtrise),"La qualité de fermeté est couverte par cette habileté. Dans la tâche T2, la négociation ferme pour obtenir le paiement nécessite une auto-régulation pour maintenir une position ferme sans être agressif ou désobligeant.",15
115,Auto-mobilisation,4 (Excellence),"La qualité de conviction est couverte par cette habileté. Dans la tâche T2, négocier fermement pour obtenir le paiement nécessite une auto-mobilisation pour convaincre le client de l'importance du paiement en temps opportun, contribuant ainsi à la performance P1 de 95% de paiements sous 30 jours.",15
116,Planification,3 (maîtrise),La planification est nécessaire pour finaliser le projet pour le 17/05 (C3) et pour la publication des pages modifiées (T4). Elle permet également de respecter la performance J+1 (P2).,1
117,Traitement de l’information,2 (acquisition),Le traitement de l'information est nécessaire pour le traitement des images et photos au format web (T2) et pour utiliser Json (C2). Il permet également de respecter la nomenclature (P1).,1
118,Auto-organisation,3 (maîtrise),L'auto-organisation est nécessaire pour respecter l'orthographe (C1) et pour finaliser la page savoirs (T1). Elle permet également de respecter la performance J+1 (P2).,1
119,Raisonnement logique,2 (acquisition),Le raisonnement logique est nécessaire pour vérifier les Ping (T3) et pour utiliser Json (C2). Il permet également de respecter la nomenclature (P1).,1
120,Flexibilité mentale,1 (initiation),"La flexibilité mentale est nécessaire pour s'adapter aux différentes tâches et contraintes du projet, notamment pour le traitement des images et photos au format web (T2) et pour respecter l'orthographe (C1). Elle permet également de respecter la performance J+1 (P2).",1
